[06/Feb/2014:02:58:41] (saverecord) ndtrung upload record of song Z24460 at upload/ndtrung/1391651921635271382423865799.wav and mixed into upload/ndtrung/1391651921635271382423865799.wav
[06/Feb/2014:13:57:42] (saverecord) ndtrung upload record of song Z24460 at upload/ndtrung/1391691462635271382423865799.wav and mixed into upload/ndtrung/1391691462635271382423865799.wav
[08/Feb/2014:14:05:26] (getInfo) ndtrung sing song Z3910
[08/Feb/2014:14:05:32] (getInfo) ndtrung sing song Z3910
[10/Feb/2014:03:18:57] (getInfo) ndtrung sing the song ID=Z42242
[10/Feb/2014:14:42:57] (getInfo) ndtrung sing the song ID=Z10
[10/Feb/2014:14:43:07] (getInfo) ndtrung sing the song ID=Z100000
[10/Feb/2014:14:46:39] (getInfo) ndtrung sing the song ID=Z100000
[10/Feb/2014:14:46:44] (getInfo) ndtrung sing the song ID=Z1000999
[10/Feb/2014:14:47:57] (getInfo) ndtrung sing the song ID=Z1000999
[10/Feb/2014:14:48:01] (getInfo) ndtrung sing the song ID=Z100032432
[10/Feb/2014:14:48:54] (getInfo) ndtrung sing the song ID=Z100032433
[10/Feb/2014:14:49:01] (getInfo) ndtrung sing the song ID=Z25252
[10/Feb/2014:14:49:06] (getInfo) ndtrung sing the song ID=Z2525
